# eps0    chi2_total    delta_total
+0.082000   2665.563895     -6.859183
+0.083000   2665.580567     -6.842511
+0.084000   2665.599497     -6.823581
+0.085000   2665.620679     -6.802399
+0.086000   2665.644109     -6.778969
+0.087000   2665.669780     -6.753298
+0.088000   2665.697688     -6.725390
+0.089000   2665.727827     -6.695251
+0.090000   2665.760192     -6.662886
+0.091000   2665.794777     -6.628301
+0.092000   2665.831578     -6.591500
+0.093000   2665.870588     -6.552490
+0.094000   2665.911803     -6.511274
+0.095000   2665.955218     -6.467860
+0.096000   2666.000827     -6.422251
+0.097000   2666.048625     -6.374453
+0.098000   2666.098607     -6.324471
+0.099000   2666.150767     -6.272310
+0.100000   2666.205101     -6.217976
